url,naziv,cijena,lokacija,lat,lng,Kvadrata,Pravih Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija,stanje,balkon,dodatna kvadratura,Namjesten
https://www.olx.ba/artikal/30554594/prodaje-se-trosoban-renoviran-stan-kod-pionirske-doline/,"Prodaje se trosoban,renoviran stan kod Pionirske doline",87000,Sarajevo - Centar,43.877576,18.408914,49,49,Trosoban (3),Patriotske lige,no info,no info,no info,0,0,Namjesten
https://www.olx.ba/artikal/30628029/prostor-prodaje-trosoban-stan-ciglane/,"PROSTOR prodaje: Trosoban stan, Ciglane",155000,Sarajevo - Centar,43.868651,18.407326,75,75,Trosoban (3),Hakije Kulenovica,1980-1989,Istok,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/26473834/stan-u-centru-sarajeva-54-m2-113-000-km/,"Stan u centru Sarajeva 54/m2, 113.000 KM",113000,Sarajevo - Centar,43.862076,18.413334,54,54,Jednoiposoban (1.5),Kosevo,Prije 1950,Istok,no info,0,0,no info
https://www.olx.ba/artikal/30554922/prodaje-se-trosoban-renoviran-stan-u-kovacicima/,"Prodaje se trosoban,renoviran stan u Kovacicima",183000,Novo Sarajevo,43.850996,18.401365,72,72,Trosoban (3),Zagrebacka,no info,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/30618566/prostor-prodaje-trosoban-stan-83m2-centar/,"PROSTOR prodaje: Trosoban stan, 83m2, Centar",195000,Sarajevo - Centar,43.861921,18.413377,83,83,Trosoban (3),Kosevo,Prije 1950,Istok,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/30471277/prostor-prodaje-dvosoban-stan-marijin-dvor/,"PROSTOR prodaje: Dvosoban stan, Marijin Dvor",129000,Sarajevo - Centar,43.859106,18.403356,62,62,Dvosoban (2),Tesanjska,1960-1969,Istok,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/30043588/prostor-prodaje-trosoban-stan-pionirska-dolina/,"PROSTOR prodaje: Trosoban stan, Pionirska dolina",159000,Sarajevo - Centar,43.880515,18.414493,62,62,Trosoban (3),Nahorevska,2010+,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/29314990/prodaja-trosoban-stan-alipasino-polje/,[ZAVRŠENO] Prodaja trosoban stan Alipasino polje,105000,"Sarajevo, Novi Grad",43.846521,18.352442,70,70,Trosoban (3),Trg solidarnosti,1980-1989,Jug,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/29245781/dvosoban-stan-bistrik-stari-grad-54-m2/,[ZAVRŠENO] Dvosoban stan - Bistrik - Stari grad - 54 m2,122000,Stari Grad,43.855457,18.429735,54,54,Dvosoban (2),Bistrik basamaci,no info,Zapad,no info,0,0,Namjesten
https://www.olx.ba/artikal/18847280/prodajem-stan-u-starom-gradu-86m2/,Prodajem stan u Starom Gradu 86m2,185000,Stari Grad,43.861978,18.425321,82,82,Trosoban (3),Muse Cazima Catica,Prije 1950,Jug,no info,0,0,no info
